piloto,tiempo_vuelta,edad,experiencia,entrenamiento,sueno,pitstop,rendimiento_competencia
Carlos Sainz,78.311,30,10,20.5,8.9,0,90.03
Oliver Bearman,78.505,20,1,24.8,8.8,0,91.31
Lewis Hamilton,101.092,40,18,16.1,7.0,1,60.0
Alexander Albon,77.97,29,5,22.2,8.5,0,93.31
Valtteri Bottas,81.525,35,12,19.1,8.5,0,69.03
Valtteri Bottas,97.178,35,12,19.8,8.5,1,69.79
Nico Hulkenberg,82.266,37,13,17.3,7.8,0,63.12
Kevin Magnussen,79.435,32,10,20.2,9.3,0,84.95
Fernando Alonso,83.019,43,21,15.2,8.3,0,60.0
Liam Lawson,95.803,23,2,24.3,7.2,1,99.88
Andrea Kimi Antonelli,79.103,18,0,24.1,9.0,0,86.26
Carlos Sainz,78.211,30,10,19.8,7.2,0,93.48
Oscar Piastri,77.072,24,2,25.4,9.2,0,100.0
Max Verstappen,77.654,27,10,19.1,7.6,0,96.69
Pierre Gasly,77.706,29,7,21.4,7.3,0,93.4
Charles Leclerc,93.215,27,7,21.3,8.0,1,100.0
Carlos Sainz,96.829,30,10,19.5,9.3,1,89.26
Andrea Kimi Antonelli,79.163,18,0,26.0,7.8,0,85.3
Carlos Sainz,78.093,30,10,20.5,8.6,0,90.91
George Russell,77.735,27,6,19.3,7.6,0,95.56
Andrea Kimi Antonelli,79.514,18,0,24.5,7.5,0,82.36
Valtteri Bottas,81.255,35,12,19.8,8.8,0,70.23
Nico Hulkenberg,83.068,37,13,18.4,7.9,0,60.0
George Russell,76.77,27,6,22.8,8.9,0,100.0
George Russell,76.802,27,6,20.6,8.6,0,100.0
Lando Norris,77.43,25,6,23.7,7.0,0,98.3
Lance Stroll,77.626,26,8,20.7,9.4,0,97.49
Oliver Bearman,94.443,20,1,23.7,9.3,1,91.88
Esteban Ocon,77.411,28,8,22.3,8.3,0,97.61
Sergio Perez,97.858,35,14,19.0,9.1,1,73.01
Max Verstappen,95.58,27,10,20.2,7.4,1,96.58
Lando Norris,77.679,25,6,20.8,8.8,0,96.35
Esteban Ocon,76.941,28,8,22.3,9.1,0,99.23
Lance Stroll,94.578,26,8,19.7,8.5,1,100.0
Fernando Alonso,82.719,43,21,15.0,8.3,0,60.0
Esteban Ocon,97.148,28,8,19.9,9.4,1,96.82
Lando Norris,92.187,25,6,20.1,8.4,1,100.0
Max Verstappen,95.853,27,10,19.1,8.4,1,96.83
Fernando Alonso,83.177,43,21,15.9,7.6,0,60.0
Sergio Perez,100.929,35,14,17.0,7.7,1,69.32
Liam Lawson,77.753,23,2,24.5,7.2,0,95.07
Lance Stroll,76.863,26,8,23.3,7.7,0,98.43
Nico Hulkenberg,98.933,37,13,18.2,8.3,1,60.0
Liam Lawson,76.851,23,2,23.6,8.7,0,99.27
Esteban Ocon,93.65,28,8,21.4,7.8,1,96.97
Oscar Piastri,94.18,24,2,25.8,7.1,1,99.31
Esteban Ocon,77.103,28,8,23.2,8.6,0,97.74
Yuki Tsunoda,77.12,25,4,23.7,7.9,0,100.0
Oscar Piastri,77.288,24,2,22.6,8.6,0,100.0
Max Verstappen,97.657,27,10,21.9,8.5,1,94.31
Valtteri Bottas,82.391,35,12,20.3,8.6,0,64.97
Lando Norris,77.212,25,6,22.5,7.5,0,100.0
